name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;261;0;424;3159;1087;3159;1087;0
header;253;160;253;194;1875;194;1875;160
A;942;81;942;84;943;84;943;81
A;1048;223;1048;248;1071;248;1071;223
B;736;726;736;745;751;745;751;726
B;1053;891;1053;917;1073;917;1073;891
C;528;997;528;1017;543;1017;543;997
C;1049;1550;1049;1580;1071;1580;1071;1550
B;1020;1593;1020;1611;1035;1611;1035;1593
B;1019;1821;1019;1839;1036;1839;1036;1821
B;912;2096;912;2114;927;2114;927;2096
B;850;2141;850;2160;864;2160;864;2141
D;1053;2225;1053;2251;1073;2251;1073;2225
A;546;2870;546;2885;554;2885;554;2870
A;941;2881;941;2883;941;2883;941;2881
