name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;316;0;292;3151;1117;3151;1117;0
header;284;173;284;203;1899;203;1899;173
A;1081;235;1081;263;1104;263;1104;235
B;1083;911;1083;940;1105;940;1105;911
B;1049;952;1049;967;1063;967;1063;952
B;319;987;319;1023;332;1023;332;987
B;329;1199;329;1214;343;1214;343;1199
B;622;1250;622;1267;635;1267;635;1250
C;1080;1579;1080;1607;1103;1607;1103;1579
B;404;1751;404;1768;419;1768;419;1751
A;1083;1922;1083;1922;1085;1922;1085;1922
D;1081;2298;1081;2324;1101;2324;1101;2298
B;679;2535;679;2560;698;2560;698;2535
B;482;2625;482;2652;501;2652;501;2625
B;520;2625;520;2651;538;2651;538;2625
A;874;2952;874;2959;881;2959;881;2952
